open,high,low,close,volume
1149.42,1149.91,1114.43,1116.28,822394
1115.35,1142.99,1106.6,1142.11,1161040
1132.31,1141.36,1127.02,1129.19,1578116
1112.39,1134,1106.07,1126.78,1486675
1136,1146.21,1116.7,1116.94,1726866
1144.14,1146.87,1129,1132.62,1734414
1155,1155.99,1119.9,1139.28,2884131
1171.49,1175,1159.65,1169.29,1711003
1185.51,1190.33,1163.48,1169.44,2248277
1183.3,1201.49,1182.03,1184.07,2584260
1170.11,1182.81,1161.61,1178.69,2364127
1152.69,1184.13,1151,1183.58,1651913
1159.92,1163.91,1153.69,1159.27,2221891
1152.21,1165.99,1150.6,1160.11,1771120
1152.28,1155.64,1143.38,1144.23,1715074
1141.02,1148.75,1141.02,1148.19,1304612
1132.94,1147.74,1131.4,1140.9,1239770
1131.21,1138.78,1123.23,11302.71,1364226
1144.58,1145.87,1126.12,1134.42,1805388
1152.77,1154.71,1136.32,1146.95,1746719
1154.66,1161.1,1147.46,1151.02,1648222
1138.5,1157.86,1137,1153.04,2237701
1112.87,1138.16,1112.01,1135,3160100
1082,1110,1078,1100,3968362
1073.48,1078.99,1066.55,1077.47,1434282
1076,1081.34,1063.08,1068.07,1803805
1086.55,1089.57,1082.6,1084.08,1111161
1086.9,1087.12,1072.3,1.45,1030194
1070,1088,1066.96,1085.96,1186998
1089.8,1091.8,1072.26,1075.31,1111299
1079,1093.3,1078,1084.01,1258999
1066,1073.73,1064.68,1069.64,1774149
1081.46,1091,1076.42,1081.26,1286907
1085.09,1094.38,1081.63,nan,1281406
1096.9,1099.12,1078.78,1084.87,1786926
1105.57,1118.15,1104.8,1106.6,1966893
1100.41,1109.01,1097.22,1103.38,1525218
1095,1109.41,1093.88,1105.47,1820676
1064.1,1094,1062.11,1088.95,2357979
1064.62,1065.23,1051.64,1058.59,1301524
1053.89,1065,1050.27,1059.46,1719971
1019.61,1051.88,1018.05,1051,1844600
1025.37,1030.69,1007.89,1026.3,1964066
1034,1043.98,1023.16,1026.05,1734872
1016.3,1041.73,1010.61,1040.75,1766256
1034.42,1038.37,1018.3,1018.58,1724632
1045.54,1051.69,1027.59,1031.45,2037263
1033.22,1052.02,1020.45,1043.31,2546332
1029.75,1036.07,1017.01,1022.99,2893047
1059.2,1064.49,1012.86,1022.64,6411038
1082.98,1088,1066.68,1073.81,3479496
1084.27,1094.75,1072.1,1077.32,2121692
1069.02,1097.51,1069.02,1089.45,1994247
1079.01,1082,1070.52,1075.39,1556298
1061.2,1085,1057.09,1079.36,2729197
1045.55,1051.43,1033.92,1046.1,1488822
1046.89,1052.98,1030.15,1036.04,1270461
1031.47,1044.65,1026.05,1037.29,1644794
1032,1035.87,1019.2,1025.06,1703015
1030.26,1041.21,1015.41,1036.5,1836678
1020.04,1044.59,1019.2,1020.09,1661012
1023.1,1036,1006.25,1009.95,2006683
1046.39,1046.71,1024,1032.64,1791761
998.23,1032.74,996.51,1029.71,2536198
1016.15,1025,997.245,1018.68,2566146
1027.62,1039.53,994.25,1012.63,3253387
1011.21,1048.05,1004.04,1037.14,3466876
1001.91,1024.99,984,1005.18,3884943
1063.9,1064.54,997.62,1006.94,2940957
1050.6,1059.27,1010.58,1054.09,3272409
1051.37,1066.78,1024.87,1026.55,2413517
1080.01,1083.92,1049.64,1053.15,3418154
1092.57,1108.7,1087.21,1094,1990515
1098.4,1105.55,1082.42,1095.8,2709310
1117.76,1119.37,1088.92,1100.07,3076349
1155.35,1156.81,1131.36,1134.42,2654602
1149.57,1162.5,1135.66,1150.61,1623868
1145.8,1159.76,1142.35,1148.89,2033697
1171.83,1178,1134.57,1139.91,2129435
1165.05,1178.16,1159.2,1165.93,2129297
1139.5,1161,1134.29,1160.84,2070174
1117.2,1131.44,1117.2,1129.38,1510478
1092.82,1116.2,1089.91,1115.04,1537429
1102.1,1105.63,1094.5,1100.9,1169068
1078.13,1101.18,1072.27,1094.76,1432369
1057.98,1086.89,1050.11,1084.14,2508145
1109.54,1111.27,1067.29,1071.41,2766856
1122,1127.65,1103,1103.92,2431023
1143.7,1144.25,1116.79,1117.51,2094863
1131.86,1144.2,1129.34,1143.7,1489118
1118.66,1129,1108.44,1128.09,1234539
1119.17,1125.46,1105.15,1109.9,1386115
1109.1,1136.2,1107.51,1113.75,2024534
1092.76,1116.29,1090,1103.59,1646405
1093.38,1108.31,1091.55,1095.5,1971928
1083.45,1094.1,1067.23,1091.36,1806206
1054.32,1075.47,1049.8,1072.7,2029979
1050,1061.22,1046.92,1054.14,1574121
1056.67,1065.57,1045.49,1054.56,2796258
1025.88,1051.72,997,1046.27,4436032
